recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598904589,1598904780,59,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598905286,1598905345,28,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598906023,1598906380,310,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598906687,1598906741,24,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598907647,1598908213,328,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598908290,1598908858,573,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598908915,1598909514,484,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598909514,1598909888,376,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598910384,1598910980,91,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598911365,1598911943,438,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598911977,1598912537,411,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598912575,1598913174,576,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598913174,1598913734,286,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598913979,1598914511,159,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598914604,1598915190,351,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598915234,1598915448,63,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598916447,1598917015,245,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598917072,1598917629,632,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598917864,1598918416,93,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598918558,1598919159,103,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598919950,1598920148,31,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598922844,1598922847,8,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598923513,1598924105,82,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598924124,1598924526,105,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598924781,1598925364,116,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598925400,1598925941,78,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598927211,1598927214,9,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598931894,1598932493,661,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598932493,1598933092,992,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598933092,1598933539,184,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598933890,1598934488,996,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598934488,1598934963,463,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598935401,1598935845,116,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598936113,1598936133,29,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598939363,1598939392,27,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598941035,1598941037,7,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598942665,1598943214,307,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598943273,1598943769,70,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598945765,1598945773,17,1,Tuesday,9
